[zhou]|州?|觀察使,觀察使
[zhou]|州?|節度|使?,節度使
[zhou]|州?|刺史,刺史
攝?|知|[zhou]|州?|軍事,知某州軍事
[lu]|路?|兵馬都監,兵馬都監
知|[fu]|府?|事,知某府軍府事
知|[zhou]|州?|事,知某州軍州事
知|[jun]|軍?|事,知某軍事
知|[jian]|監?|事,知某監事
[xian]|縣?|知縣,知某縣事
[lu]|路?|制置使,制置使
[lu]|路?|制置副使,制置副使
[lu]|路?|安撫使,安撫使
[lu]|路?|安撫副使,安撫副使
[lu]|路?|宣撫使,宣撫使
[lu]|路?|宣撫副使,宣撫副使
[zhou]|州?|推官,推官
[zhou]|州?|判官,判官
[zhou]|州?|知軍州事,知某州軍州事
知|[zhou]|州?,知某州軍州事
[zhou]|州?|教授,某州州學教授
[zhou]|州?|司戶|參軍?,司戶參軍
[zhou]|州?|司法|參軍?,司法參軍
[zhou]|州?|司理|參軍?,司理參軍
[zhou]|州?|録事|參軍?,録事參軍
判|[fu]|府?,判某府軍府事
判|[zhou]|州?,判某州軍府事
[jun]|軍?|節度使,節度使
知|[fu]|府?,知某府軍府事
通判|[zhou]|州?|軍州事?,通判
[lu]|路?|轉運使,轉運使
[lu]|路?|轉運副使,轉運副使
提點|[lu]|路?|刑獄,路提點刑獄公事
提舉|[lu]|路?|常平|茶鹽公事?,提舉
[xian]|縣?|尉,縣尉
[zhou]|州?|都指揮使,都指揮使
[zhou]|州?|圑練使,圑練使
[zhou]|州?|圑練副使,圑練副使
[xian]|縣?|主簿,主簿